country_code,country,year,nominal_house_price_index,real_house_price_index,rent_price_index,price_to_income_ratio,price_to_rent_ratio,nominal_price_yoy_growth_pct,real_price_yoy_growth_pct,rent_yoy_growth_pct,nominal_price_total_growth_pct,rent_total_growth_pct
ITA,Italy,2011,119.7,124.802269625974,96.7621620843307,118.114491989022,123.707121168255,1.3547840812870415,-1.4971657562192986,1.6134028051466132,1.3547840812870415,1.6134028051466132
ITA,Italy,2012,116.65,118.426629903259,98.8731044755048,119.401685963277,117.994665784419,-2.548036758563077,-5.108592769845033,2.181578362557013,-1.2277730736663717,3.8301788142016013
ITA,Italy,2013,109.1,109.529399896196,100.17460113667,111.567119201379,108.912164434298,-6.4723531933133405,-7.512862617412164,1.3163303287272,-7.620660457239625,5.196926948304625
ITA,Italy,2014,103.95,104.100486478908,99.8650932115992,105.470486923937,104.090876110452,-4.720439963336376,-4.956580993261294,-0.30896846262311595,-11.981371718882293,4.871901620385688
ITA,Italy,2015,100.0,100.0,100.0,100.0,100.0,-3.7999037999038032,-3.9389695645070777,0.13508903267627215,-15.325994919559694,5.013572057833882
ITA,Italy,2016,100.25,99.7309442316483,100.300361151325,98.7343320121169,99.949749960284,0.24999999999999467,-0.2690557683517003,0.3003611513250126,-15.114309906858592,5.328992031914304
ITA,Italy,2017,99.1749999999999,97.3497752293067,100.500345272586,95.367807653978,98.6815236656898,-1.07231920199512,-2.3875929589223355,0.19938524544220737,-16.024555461473412,5.539002501198942
ITA,Italy,2018,98.6249999999999,95.5382960481508,100.883639838997,93.2578330783052,97.7614630847146,-0.5545752457776665,-1.8607944156922573,0.3813863179985999,-16.49026248941583,5.94151381689072
ITA,Italy,2019,98.5249999999999,94.5929724566766,101.158618005731,92.2623620656087,97.3963384291272,-0.10139416983523386,-0.9894708515606698,0.2725696328689686,-16.574936494496264,6.230278212157225
ITA,Italy,2020,100.4,96.1396898598098,101.400273818259,96.0157013551393,99.0135464885824,1.903070286729358,1.6351292944532414,0.23888801299589701,-14.987298899237922,6.48404961297826
ITA,Italy,2021,102.95,97.1699873010025,101.441945509527,93.3216673065231,101.48545103532,2.539840637450186,1.071667115522268,0.04109623149803898,-12.8281117696867,6.527810544515722
ITA,Italy,2022,106.875,94.4959419116709,102.591854206776,90.8772515855042,104.176695797258,3.8125303545410327,-2.7519252225980395,1.1335633316900573,-9.504657070279421,7.7353707429005825
ITA,Italy,2023,108.25,91.1036845631899,105.116653737693,86.9187607908167,102.98332244526,1.2865497076023358,-3.5898444735879442,2.4610136452239306,-8.340389500423361,10.386752917615972
ITA,Italy,2024,111.7,92.4136214711872,108.466387768811,87.0429874654911,102.97614911439,3.1870669745958535,1.4378528313953254,3.186682520808648,-5.419136325148177,13.904428278129854
ITA,Italy,2025,116.199999998344,94.7649040637544,112.607733945974,88.4699987414121,103.187536376121,4.028648163244397,2.5443030530951427,3.818091726249806,-1.6088060979305596,18.253403830049276
NLD,Netherlands,2010,111.428,119.174761475429,85.8066107096693,120.108377086129,129.866965984287,,,,0.0,0.0
NLD,Netherlands,2011,109.21725,113.666185781922,87.2737806363108,115.361919803667,125.155943885674,-1.984016584700421,-4.622267018040338,1.7098565186378645,-1.984016584700421,1.7098565186378645
NLD,Netherlands,2012,101.8855,104.913339169159,89.2903255354836,107.723595644223,114.137656092477,-6.712996344441935,-7.700484143592234,2.310596475218807,-8.563825968338302,4.059960878307645
NLD,Netherlands,2013,95.7715,96.7343104253243,92.6383053680846,100.926716389843,103.419750918983,-6.000853899720759,-7.795985533018923,3.7495437635855833,-14.050777183472729,7.961734651809826
NLD,Netherlands,2014,96.5565000000001,96.672593017267,96.8006651599666,99.0604506866071,99.7653771856872,0.8196592932136371,-0.0638009489972391,4.493130325887851,-13.34628639121217,12.812596091804851
NLD,Netherlands,2015,100.0,100.0,100.0,100.0,100.0,3.566305738091069,3.4419341396363157,3.305075264458557,-10.255950030512972,16.54113730042863
NLD,Netherlands,2016,105.2935,104.545107009925,102.08119489594,102.10024535844,103.143496353247,5.293499999999995,4.545107009925009,2.0811948959400084,-5.50534874537818,18.966585501595578
